states,total area,total forest,percent,annual rainfall
Andaman & Nicobar Islands,8249,6743,81.74,3086
Arunachal Pradesh,83743,66688,79.63,2433.3
Assam,78438,28327,36.11,2084.7
Meghalaya,22429,17119,76.33,3844.4
Manipur,22327,16847,75.46,928.6
Mizoram,21081,18006,85.41,2178.5
Nagaland,16579,12486,75.31,1593
Tripura,10486,7065,67.38,2252.8
West Bengal,88752,16902,19.04,1733.4
Sikkim,7096,3342,47.1,2740
Odisha,155707,51619,33.15,1593.9
Jharkhand,79714,23611,29.62,1137.8
Bihar,94163,7306,7.76,1194.7
Uttar Pradesh,240928,14806,6.15,814.5
Uttarakhand,53483,24303,45.44,1378.9
Haryana,44212,1602,3.62,351.8
Delhi,1483,195.44,13.18,546.9
Punjab,50362,1849,3.67,653.2
Himachal Pradesh,55673,15434,27.72,1217.7
Jammu Kashmir & Ladakh,222679,23612,10.6,1324.1
Rajasthan,342239,16630,4.86,665.1
Madhya Pradesh,308245,77842,25.25,1446.7
Gujarat,196244,14857,7.57,1067.8
Dadra and nagar Haveli,491,207,42.16,3773.7
Daman and Diu,112,21.49,19.19,2270.3
Maharashtra,307713,50778,16.5,1555.8
Goa,3702,2237,60.43,4489.5
Chattisgarh,135191,55611,41.14,1420.3
Andhra Pradesh,162968,29137,17.88,899.2
Tamil Nadu,130058,26364,20.27,910.1
Puducherry,490,52.41,10.7,1317
Karnataka,191791,38575,20.11,1422.3
Chandigarh,114,22.03,19.32,938.7
Kerala,38852,21144,54.42,3119.2
Lakshadweep,30,27.1,90.33,2143
Telangana,112077,26904,24,1031.7
